"diff","treat","lpop2000","poverty","tariq","iso","lnn","garrison","reb","pret","swept","lelev","vilno","groznyy","vildays","deathsd","deaths","woundedd","wounded","propd","lprop","historyd","lhistory"
0,1,8.59230041503906,2,0,3,0.13976189494133,1,1,0,0,4.41883993148804,34,0,90,0,0,0,0,1,1.60943794250488,0,0
1,0,9.94578075408936,1,0,4,1.54415202140808,1,0,7,1,4.86753511428833,121,1,22,NA,NA,NA,NA,NA,NA,NA,NA
2,0,9.27958679199219,2,0,0,1.69854700565338,0,0,0,0,5.4026780128479,43,0,8,NA,NA,NA,NA,NA,NA,NA,NA
0,1,9.13895130157471,2,0,1,1.12687599658966,0,1,0,1,5.58349609375,95,0,90,1,5,1,12,1,1.79175901412964,1,1.09861195087433
4,0,10.4216299057007,2,0,0,2.16033005714417,1,1,3,0,3.8712010383606,54,0,2,NA,NA,NA,NA,NA,NA,NA,NA
-7,1,10.275429725647,2,0,1,1.47017598152161,1,1,9,0,5.42495012283325,113,0,19,1,3,1,8,1,1.38629400730133,0,0
0,0,7.52023506164551,3,0,4,1.04626595973969,1,1,3,1,6.55393409729004,36,0,22,NA,NA,NA,NA,NA,NA,NA,NA
-7,1,7.32118797302246,3,0,7,0.285930514335632,0,1,9,1,6.55393409729004,138,0,7,1,2,0,0,0,0,1,0.6931471824646
-1,0,9.28023910522461,2,0,1,1.65555799007416,1,1,4,1,5.5093879699707,12,0,43,NA,NA,NA,NA,NA,NA,NA,NA
-3,1,8.74528408050537,2,0,0,1.87057101726532,0,0,4,0,5.30826807022095,22,0,69,0,0,1,6,1,2.89037203788757,0,0
0,1,8.18088054656982,3,0,6,0.826366126537323,0,1,0,0,6.65157222747803,33,0,90,1,3,0,0,0,0,1,0.6931471824646
0,0,7.43779516220093,3,0,4,-0.498896986246109,0,1,2,1,6.34913921356201,129,0,23,NA,NA,NA,NA,NA,NA,NA,NA
0,1,6.65929412841797,2,0,3,1.56611299514771,0,1,0,0,6.12029695510864,4,0,90,1,5,1,5,0,0,1,1.38629400730133
-1,0,6.66695690155029,2,0,6,1.19573903083801,0,1,2,0,5.68357992172241,5,0,2,NA,NA,NA,NA,NA,NA,NA,NA
-2,0,9.3339729309082,2,0,4,0.176471099257469,1,1,3,1,5.74620294570923,24,0,26,NA,NA,NA,NA,NA,NA,NA,NA
-3,1,9.81509304046631,1,0,4,1.54415202140808,1,0,20,0,4.86753511428833,74,1,4,1,3,0,0,1,1.38629400730133,1,1.60943794250488
0,1,7.96970415115356,2,0,5,-0.458707690238953,0,0,0,1,5.23110914230347,104,0,90,0,0,0,0,0,0,0,0
-2,0,7.31455278396606,3,0,7,0.654925882816315,0,1,4,0,6.40191698074341,132,0,45,NA,NA,NA,NA,NA,NA,NA,NA
0,1,5.83188199996948,3,0,4,0.991027116775513,0,1,0,0,6.54821920394897,38,0,90,0,0,0,0,0,0,0,0
0,0,5.03043794631958,3,0,8,1.02173101902008,0,1,0,0,6.36475086212158,86,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,6.15273284912109,3,0,4,0.955511391162872,0,1,0,0,6.51025819778442,99,0,90,0,0,1,3,0,0,0,0
-1,0,6.83733320236206,3,0,4,0.393122613430023,0,1,1,0,6.40357398986816,116,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,0,8.36938858032227,3,0,5,-0.0768809989094734,0,0,0,0,6.82328605651855,20,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,9.15122699737549,2,0,2,0.343589693307877,1,1,0,0,4.02535200119019,93,0,90,0,0,0,0,0,0,0,0
0,1,8.18088054656982,3,0,6,0.826366126537323,0,1,4,0,6.65157222747803,33,0,13,0,0,1,1,0,0,1,1.09861195087433
0,0,6.39693021774292,3,0,4,-0.300024598836899,0,1,0,0,6.57088279724121,83,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,0,4.31748819351196,3,0,0,1.97724294662476,0,1,0,0,7.02997303009033,39,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,8.08456230163574,2,0,1,1.65555799007416,0,1,0,0,5.7838249206543,111,0,90,1,1,1,1,1,1.94590997695923,1,0.6931471824646
0,1,5.5093879699707,3,0,5,0.285930514335632,0,1,0,0,6.60123014450073,90,0,90,0,0,0,0,0,0,0,0
0,0,5.27811479568481,3,0,12,-0.820980489253998,0,0,0,0,6.60394382476807,139,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,0,8.76420974731445,2,0,2,1.4495040178299,0,1,0,0,5.08759593963623,45,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,8.81477642059326,2,0,2,1.18662297725677,0,0,0,0,5.4026780128479,137,0,90,1,1,1,3,0,0,0,0
1,0,6.02102279663086,3,0,5,0.589451909065247,0,0,0,1,6.04500484466553,26,0,1,NA,NA,NA,NA,NA,NA,NA,NA
-1,1,8.08456230163574,2,0,1,1.65555799007416,0,1,2,0,5.7838249206543,111,0,71,1,1,1,1,1,1.94590997695923,1,1.09861195087433
0,0,8.14844608306885,2,0,5,0.911881029605865,0,0,0,0,5.10594606399536,71,0,90,NA,NA,NA,NA,NA,NA,NA,NA
-1,1,8.08456230163574,2,0,1,1.65555799007416,0,1,2,1,5.7838249206543,111,0,65,0,0,1,7,0,0,1,1.38629400730133
0,0,6.95939922332764,2,0,1,1.31908595561981,0,0,0,1,5.12396383285522,29,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,8.29829025268555,2,0,6,1.23343503475189,0,0,0,0,5.22035598754883,47,0,90,0,0,1,2,0,0,0,0
0,1,8.58765125274658,2,0,4,0.891588091850281,0,0,2,0,5.96357917785645,8,0,73,0,0,0,0,0,0,1,0.6931471824646
-1,0,9.18921947479248,2,0,0,1.87640702724457,0,1,2,1,5.39816284179688,13,0,64,NA,NA,NA,NA,NA,NA,NA,NA
-1,1,9.28023910522461,2,0,1,1.65555799007416,1,1,1,0,5.5093879699707,12,0,90,0,0,0,0,0,0,0,0
-2,0,9.27958679199219,2,0,0,1.69854700565338,0,0,2,0,5.4026780128479,43,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,7.97933912277222,2,0,4,1.35820400714874,0,0,0,0,5.14166402816772,61,0,90,0,0,0,0,0,0,0,0
1,0,6.92853784561157,3,0,4,-1.28880500793457,0,1,2,1,6.67959880828857,110,0,17,NA,NA,NA,NA,NA,NA,NA,NA
-1,0,9.3339729309082,2,0,4,0.176471099257469,1,1,1,0,5.74620294570923,24,0,90,NA,NA,NA,NA,NA,NA,NA,NA
2,1,10.6243000030518,2,1,3,1.32813501358032,1,0,0,0,5.45532083511353,136,0,9,1,1,1,3,0,0,1,1.38629400730133
0,0,8.21959590911865,2,0,0,1.81018900871277,0,1,0,0,4.92725419998169,57,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,8.15908908843994,3,0,6,0.516409993171692,0,1,0,1,6.47543287277222,77,0,90,1,3,0,0,0,0,1,1.38629400730133
0,1,7.78862619400024,2,0,2,1.32840001583099,0,0,0,0,5.39362812042236,44,0,90,0,0,0,0,1,1.09861195087433,0,0
0,0,7.64969301223755,1,1,1,1.24961495399475,0,0,0,0,5.08140420913696,68,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,7.78862619400024,2,0,2,1.32840001583099,0,0,0,0,5.39362812042236,44,0,90,0,0,0,0,1,1.09861195087433,1,0.6931471824646
1,0,10.4216299057007,2,0,0,2.16033005714417,1,1,5,0,3.8712010383606,54,0,12,NA,NA,NA,NA,NA,NA,NA,NA
1,0,2.63905692100525,3,0,5,0.393122613430023,0,1,0,0,6.70441389083862,3,0,72,NA,NA,NA,NA,NA,NA,NA,NA
-1,1,10.275429725647,2,0,1,1.47017598152161,1,1,4,0,5.42495012283325,113,0,1,1,2,1,1,0,0,1,0.6931471824646
0,1,7.38585090637207,3,0,3,0.771033704280853,0,1,0,0,6.41999483108521,64,0,90,0,0,0,0,0,0,1,0.6931471824646
0,0,6.59304523468018,2,0,5,0.393122613430023,0,1,0,0,5.78995990753174,88,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,0,7.49554204940796,3,0,5,0.393122613430023,0,0,0,0,6.67959880828857,63,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,7.43779516220093,3,0,4,-0.498896986246109,0,1,0,0,6.34913921356201,129,0,90,0,0,0,0,0,0,0,0
0,0,7.90985679626465,3,0,5,0.393122613430023,0,1,0,0,6.50278997421265,98,0,90,NA,NA,NA,NA,NA,NA,NA,NA
-2,1,7.31455278396606,3,0,7,0.654925882816315,0,1,2,0,6.40191698074341,132,0,90,0,0,0,0,0,0,0,0
0,1,8.15908908843994,3,0,6,0.516409993171692,0,1,0,1,6.47543287277222,77,0,90,1,1,1,3,0,0,1,1.60943794250488
-1,0,8.60171794891357,2,0,2,1.02173101902008,0,0,1,1,4.73619794845581,120,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,0,7.4006199836731,3,0,5,0.510905623435974,0,1,0,0,6.34738922119141,67,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,6.92853784561157,3,0,4,-1.28880500793457,0,1,0,0,6.67959880828857,110,0,90,1,2,1,3,0,0,0,0
-1,1,9.3339729309082,2,0,4,0.176471099257469,1,1,1,0,5.74620294570923,24,0,90,0,0,1,1,0,0,0,0
-1,0,9.712327003479,1,0,4,1.54415202140808,1,0,6,1,4.86753511428833,97,1,23,NA,NA,NA,NA,NA,NA,NA,NA
1,0,7.64969301223755,1,1,1,1.24961495399475,0,0,0,1,5.08140420913696,68,0,24,NA,NA,NA,NA,NA,NA,NA,NA
1,1,10.6243000030518,2,1,3,1.32813501358032,1,0,0,1,5.45532083511353,136,0,56,0,0,1,4,1,2.56494903564453,1,1.60943794250488
2,0,8.39728260040283,2,0,4,1.32840001583099,0,0,2,0,5.87773609161377,107,0,12,NA,NA,NA,NA,NA,NA,NA,NA
-2,1,8.08456230163574,2,0,1,1.65555799007416,0,1,2,0,5.7838249206543,111,0,90,1,1,1,7,0,0,1,1.60943794250488
0,0,8.49923324584961,2,0,0,1.71865105628967,0,0,0,0,4.97673416137695,17,0,90,NA,NA,NA,NA,NA,NA,NA,NA
-2,1,8.08456230163574,2,0,1,1.65555799007416,0,1,2,0,5.7838249206543,111,0,90,1,8,0,0,1,1.38629400730133,1,1.79175901412964
0,0,7.49554204940796,2,0,3,-0.342067807912827,0,0,0,1,5.91079711914062,49,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,7.49554204940796,3,0,5,0.393122613430023,0,0,0,0,6.67959880828857,63,0,90,0,0,0,0,0,0,0,0
0,0,6.54391193389893,3,0,6,0.393122613430023,0,1,0,0,6.52795791625977,14,0,90,NA,NA,NA,NA,NA,NA,NA,NA
-2,1,8.08456230163574,2,0,1,1.65555799007416,0,1,2,0,5.7838249206543,111,0,90,1,8,0,0,1,1.38629400730133,1,1.94590997695923
0,0,5.48063898086548,3,0,6,1.19283103942871,0,1,0,0,6.01126718521118,1,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,5.03043794631958,3,0,8,1.02173101902008,0,1,0,0,6.36475086212158,86,0,90,0,0,1,2,0,0,0,0
-1,0,7.64969301223755,1,1,1,1.24961495399475,0,0,1,1,5.08140420913696,68,0,90,NA,NA,NA,NA,NA,NA,NA,NA
-1,1,10.6243000030518,2,1,3,1.32813501358032,1,0,2,1,5.45532083511353,136,0,11,0,0,0,0,0,0,1,1.79175901412964
0,0,4.31748819351196,3,0,0,1.97724294662476,0,1,0,0,7.02997303009033,39,0,90,NA,NA,NA,NA,NA,NA,NA,NA
-5,1,7.32118797302246,3,0,7,0.285930514335632,0,1,6,0,6.55393409729004,138,0,90,1,2,1,2,0,0,1,1.09861195087433
-2,1,9.28023910522461,2,0,1,1.65555799007416,1,1,5,0,5.5093879699707,12,0,11,0,0,0,0,0,0,1,0.6931471824646
1,0,9.94578075408936,1,0,4,1.54415202140808,1,0,8,0,4.86753511428833,121,1,27,NA,NA,NA,NA,NA,NA,NA,NA
-5,0,10.4216299057007,2,0,0,2.16033005714417,1,1,7,1,3.8712010383606,54,0,27,NA,NA,NA,NA,NA,NA,NA,NA
0,1,8.15908908843994,3,0,6,0.516409993171692,0,1,0,0,6.47543287277222,77,0,90,0,0,0,0,0,0,1,1.94590997695923
0,0,8.36938858032227,3,0,5,-0.0768809989094734,0,0,0,0,6.82328605651855,20,0,90,NA,NA,NA,NA,NA,NA,NA,NA
1,1,8.74528408050537,2,0,0,1.87057101726532,0,0,3,0,5.30826807022095,22,0,2,0,0,0,0,0,0,1,0.6931471824646
0,0,7.60090303421021,2,0,6,0.616266071796417,0,1,0,0,6.54247188568115,106,0,90,NA,NA,NA,NA,NA,NA,NA,NA
1,1,8.08456230163574,2,0,1,1.65555799007416,0,1,0,0,5.7838249206543,111,0,30,1,8,0,0,1,1.38629400730133,1,2.07944202423096
0,0,5.31812000274658,3,0,4,-0.300024598836899,0,1,0,0,6.89365577697754,10,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,7.39264822006226,2,0,3,1.17093300819397,0,0,0,1,5.7745509147644,125,0,90,0,0,0,0,0,0,1,0.6931471824646
1,1,8.15908908843994,3,0,6,0.516409993171692,0,1,0,0,6.47543287277222,77,0,90,1,1,1,3,0,0,1,1.60943794250488
0,0,2.48490691184998,2,0,6,0.393122613430023,0,0,0,0,6.73221111297607,78,0,90,NA,NA,NA,NA,NA,NA,NA,NA
1,1,8.74528408050537,2,0,0,1.87057101726532,0,0,2,0,5.30826807022095,22,0,8,0,0,0,0,1,2.89037203788757,1,1.09861195087433
0,0,8.60171794891357,2,0,2,1.02173101902008,0,0,0,0,4.73619794845581,120,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,8.08856201171875,2,1,1,1.81303203105927,0,0,1,0,4.75359010696411,102,0,24,0,0,0,0,0,0,1,0.6931471824646
0,0,8.84419345855713,2,1,2,0.203756794333458,1,1,0,0,5.00394582748413,130,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,0,6.37502479553223,2,0,6,1.1468939781189,0,1,0,0,6.51322984695435,126,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,5.49306201934814,3,0,5,0.105440497398376,0,1,0,0,6.54821920394897,127,0,90,1,1,1,2,0,0,1,0.6931471824646
0,0,6.90975284576416,2,0,2,0.587786614894867,1,0,0,0,5.6594820022583,51,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,8.15908908843994,3,0,6,0.516409993171692,0,1,0,0,6.47543287277222,77,0,90,1,1,1,1,1,1.38629400730133,1,1.79175901412964
2,1,9.28023910522461,2,0,1,1.65555799007416,1,1,2,1,5.5093879699707,12,0,8,0,0,0,0,0,0,1,1.09861195087433
0,0,7.60090303421021,2,0,6,0.616266071796417,0,1,0,0,6.54247188568115,106,0,90,NA,NA,NA,NA,NA,NA,NA,NA
2,1,5.3132061958313,3,0,5,1.06780898571014,0,1,0,0,6.5323338508606,28,0,15,0,0,0,0,0,0,0,0
0,0,6.39693021774292,3,0,4,-0.300024598836899,0,1,0,0,6.57088279724121,83,0,90,NA,NA,NA,NA,NA,NA,NA,NA
-2,1,7.52023506164551,3,0,4,1.04626595973969,1,1,2,0,6.55393409729004,36,0,3,1,1,1,2,0,0,0,0
0,0,7.08590078353882,2,0,8,-0.0768809989094734,0,1,0,0,6.57786083221436,119,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,8.59230041503906,2,0,3,0.13976189494133,1,1,0,0,4.41883993148804,34,0,90,1,1,0,0,1,1.09861195087433,1,0.6931471824646
-2,0,9.712327003479,1,0,4,1.54415202140808,1,0,10,0,4.86753511428833,97,1,29,NA,NA,NA,NA,NA,NA,NA,NA
0,1,8.59230041503906,2,0,3,0.13976189494133,1,1,0,0,4.41883993148804,34,0,90,0,0,0,0,1,1.60943794250488,1,1.09861195087433
0,0,8.32020473480225,2,0,3,0.789820075035095,0,0,0,1,5.11799383163452,101,0,90,NA,NA,NA,NA,NA,NA,NA,NA
-3,1,8.74528408050537,2,0,0,1.87057101726532,0,0,3,0,5.30826807022095,22,0,90,0,0,1,10,1,2.89037203788757,1,1.38629400730133
0,0,8.76420974731445,2,0,2,1.4495040178299,0,1,0,0,5.08759593963623,45,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,2.63905692100525,3,0,5,0.393122613430023,0,1,0,0,6.70441389083862,3,0,90,0,0,0,0,0,0,0,0
0,0,5.93489408493042,3,0,9,-0.371788591146469,0,0,0,0,6.7833251953125,147,0,90,NA,NA,NA,NA,NA,NA,NA,NA
-2,1,7.52023506164551,3,0,4,1.04626595973969,1,1,2,0,6.55393409729004,36,0,90,0,0,0,0,0,0,1,0.6931471824646
0,0,7.93665981292725,2,0,5,1.30941295623779,0,0,0,1,5.796058177948,69,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,0,7.69621276855469,2,0,4,1.17093300819397,0,0,0,0,5.91889381408691,53,0,90,NA,NA,NA,NA,NA,NA,NA,NA
-1,1,8.15908908843994,3,0,6,0.516409993171692,0,1,1,0,6.47543287277222,77,0,49,0,0,0,0,0,0,1,2.07944202423096
0,0,7.38523101806641,3,0,4,0.510905623435974,0,1,0,0,5.83188199996948,76,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,7.31455278396606,3,0,7,0.654925882816315,0,1,0,0,6.40191698074341,132,0,90,0,0,0,0,0,0,1,0.6931471824646
1,0,8.84419345855713,2,1,2,0.203756794333458,1,1,0,0,5.00394582748413,130,0,53,NA,NA,NA,NA,NA,NA,NA,NA
0,1,5.93489408493042,3,0,9,-0.371788591146469,0,0,0,1,6.7833251953125,147,0,90,0,0,0,0,1,1.60943794250488,0,0
0,0,4.49981021881104,3,0,5,0.393122613430023,0,0,0,0,5.68324089050293,75,0,90,NA,NA,NA,NA,NA,NA,NA,NA
-3,1,8.08456230163574,2,0,1,1.65555799007416,0,1,3,1,5.7838249206543,111,0,90,0,0,0,0,0,0,1,2.19722509384155
0,0,4.82831382751465,3,0,8,0.351360887289047,0,0,0,0,6.66822814941406,11,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,6.02102279663086,3,0,5,0.589451909065247,0,0,2,0,6.04500484466553,26,0,18,0,0,0,0,1,0.6931471824646,0,0
0,0,5.41610097885132,2,0,3,1.28647398948669,0,0,0,0,5.12396383285522,48,0,90,NA,NA,NA,NA,NA,NA,NA,NA
-3,1,8.08456230163574,2,0,1,1.65555799007416,0,1,3,1,5.7838249206543,111,0,90,0,0,1,7,0,0,1,2.3025848865509
-1,1,8.08456230163574,2,0,1,1.65555799007416,0,1,1,1,5.7838249206543,111,0,90,1,1,1,1,1,1.94590997695923,1,2.39789509773254
-3,0,9.94578075408936,1,0,4,1.54415202140808,1,0,8,1,4.86753511428833,121,1,13,NA,NA,NA,NA,NA,NA,NA,NA
0,0,6.92264413833618,2,0,3,1.35820400714874,0,1,0,0,5.85793304443359,35,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,8.08456230163574,2,0,1,1.65555799007416,0,1,0,1,5.7838249206543,111,0,90,1,8,0,0,1,1.38629400730133,1,2.48490691184998
1,0,8.32020473480225,2,0,3,0.789820075035095,0,0,0,1,5.11799383163452,101,0,70,NA,NA,NA,NA,NA,NA,NA,NA
0,1,5.27811479568481,3,0,12,-0.820980489253998,0,0,0,0,6.60394382476807,139,0,90,0,0,1,1,1,0.6931471824646,0,0
0,1,5.31812000274658,3,0,4,-0.300024598836899,0,1,0,0,6.89365577697754,10,0,90,0,0,0,0,0,0,0,0
1,0,9.712327003479,1,0,4,1.54415202140808,1,0,6,1,4.86753511428833,97,1,10,NA,NA,NA,NA,NA,NA,NA,NA
0,1,5.52146100997925,3,0,11,1.6511549949646,0,0,0,0,6.53378915786743,27,0,90,0,0,0,0,0,0,0,0
0,0,4.23410701751709,3,0,6,0.393122613430023,0,1,0,0,6.48768377304077,58,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,5.0434250831604,3,0,5,-0.287682086229324,0,0,0,0,7.02820205688477,42,0,90,0,0,0,0,0,0,0,0
-2,0,8.81789016723633,2,0,1,1.60943794250488,0,1,2,0,5.22574710845947,46,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,6.21460819244385,3,0,5,0.587786614894867,0,0,0,0,6.93342304229736,60,0,90,0,0,0,0,0,0,0,0
-1,0,7.4006199836731,3,0,5,0.510905623435974,0,1,1,0,6.34738922119141,67,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,0,6.90975284576416,2,0,2,0.587786614894867,1,0,0,0,5.6594820022583,51,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,6.21460819244385,3,0,7,-0.300024598836899,0,1,0,1,7.03790616989136,80,0,90,0,0,0,0,0,0,0,0
-1,0,8.14844608306885,2,0,5,0.911881029605865,0,0,1,0,5.10594606399536,71,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,6.17794418334961,3,0,6,-0.300024598836899,0,1,0,0,7.03790616989136,87,0,90,0,0,0,0,0,0,0,0
2,0,6.56526517868042,3,0,6,1.1468939781189,0,1,0,0,6.51914691925049,55,0,55,NA,NA,NA,NA,NA,NA,NA,NA
0,1,6.29156923294067,3,0,6,0.587786614894867,0,1,0,0,6.79458713531494,114,0,90,1,1,0,0,0,0,1,0.6931471824646
